[  144.977094] SCHED_LOG: pid=2370, nice=10, vruntime=23735386218, deadline=23735410411, burst_ns=83213 comm=cpuChild
[  144.977183] SCHED_LOG: pid=2370, nice=10, vruntime=23736091670, deadline=23736115863, burst_ns=75781 comm=cpuChild
[  144.977270] SCHED_LOG: pid=2370, nice=10, vruntime=23736786891, deadline=23736811084, burst_ns=74682 comm=cpuChild
[  144.977357] SCHED_LOG: pid=2370, nice=10, vruntime=23737470755, deadline=23737494948, burst_ns=73462 comm=cpuChild
[  144.977559] SCHED_LOG: pid=2370, nice=10, vruntime=23739232537, deadline=23739256730, burst_ns=189254 comm=cpuChild
[  144.977742] SCHED_LOG: pid=2370, nice=10, vruntime=23740794527, deadline=23740818720, burst_ns=167792 comm=cpuChild
[  144.977918] SCHED_LOG: pid=2370, nice=10, vruntime=23742298177, deadline=23742322370, burst_ns=161525 comm=cpuChild
[  144.978010] SCHED_LOG: pid=2370, nice=10, vruntime=23743028726, deadline=23743052919, burst_ns=78477 comm=cpuChild
[  144.978194] SCHED_LOG: pid=2370, nice=10, vruntime=23744619928, deadline=23744644121, burst_ns=170930 comm=cpuChild
[  144.978368] SCHED_LOG: pid=2370, nice=10, vruntime=23746114390, deadline=23746138583, burst_ns=160538 comm=cpuChild
[  144.978550] SCHED_LOG: pid=2370, nice=10, vruntime=23747680020, deadline=23747704213, burst_ns=168183 comm=cpuChild
[  144.978741] SCHED_LOG: pid=2370, nice=10, vruntime=23749330912, deadline=23749355105, burst_ns=177342 comm=cpuChild
[  144.978892] SCHED_LOG: pid=2369, nice=19, vruntime=23758185189, deadline=23758203939, burst_ns=135685 comm=cpuChild
[  144.978992] SCHED_LOG: pid=2370, nice=10, vruntime=23750140011, deadline=23750164204, burst_ns=86915 comm=cpuChild
[  144.979079] SCHED_LOG: pid=2370, nice=10, vruntime=23750830764, deadline=23750854957, burst_ns=74202 comm=cpuChild
[  144.979260] SCHED_LOG: pid=2370, nice=10, vruntime=23752391200, deadline=23752415393, burst_ns=167625 comm=cpuChild
[  144.979453] SCHED_LOG: pid=2370, nice=10, vruntime=23754053049, deadline=23754077242, burst_ns=178519 comm=cpuChild
[  144.979635] SCHED_LOG: pid=2370, nice=10, vruntime=23755617097, deadline=23755641290, burst_ns=168013 comm=cpuChild
[  144.979814] SCHED_LOG: pid=2370, nice=10, vruntime=23757152287, deadline=23757176480, burst_ns=164913 comm=cpuChild
[  144.979995] SCHED_LOG: pid=2370, nice=10, vruntime=23758708142, deadline=23758732335, burst_ns=167133 comm=cpuChild
[  144.980150] SCHED_LOG: pid=2369, nice=19, vruntime=23767470616, deadline=23767489366, burst_ns=136017 comm=cpuChild
[  144.980349] SCHED_LOG: pid=2370, nice=10, vruntime=23760427577, deadline=23760451770, burst_ns=184705 comm=cpuChild
[  144.980573] SCHED_LOG: pid=2370, nice=10, vruntime=23762374405, deadline=23762398598, burst_ns=209132 comm=cpuChild
[  144.980770] SCHED_LOG: pid=2370, nice=10, vruntime=23764067719, deadline=23764091912, burst_ns=181899 comm=cpuChild
[  144.980951] SCHED_LOG: pid=2370, nice=10, vruntime=23765628164, deadline=23765652357, burst_ns=167626 comm=cpuChild
[  144.981137] SCHED_LOG: pid=2370, nice=10, vruntime=23767230388, deadline=23767254581, burst_ns=172114 comm=cpuChild
[  144.981289] SCHED_LOG: pid=2370, nice=10, vruntime=23768513013, deadline=23768537206, burst_ns=137782 comm=cpuChild
[  144.981382] SCHED_LOG: pid=2369, nice=19, vruntime=23772885527, deadline=23772904277, burst_ns=79320 comm=cpuChild
[  144.981469] SCHED_LOG: pid=2370, nice=10, vruntime=23769194745, deadline=23769218938, burst_ns=73233 comm=cpuChild
[  144.981654] SCHED_LOG: pid=2370, nice=10, vruntime=23770790742, deadline=23770814935, burst_ns=171445 comm=cpuChild
[  144.981848] SCHED_LOG: pid=2370, nice=10, vruntime=23772273242, deadline=23772297435, burst_ns=159253 comm=cpuChild
[  144.982028] SCHED_LOG: pid=2370, nice=10, vruntime=23773817592, deadline=23773841785, burst_ns=165897 comm=cpuChild
[  144.982206] SCHED_LOG: pid=2369, nice=19, vruntime=23784150960, deadline=23784169710, burst_ns=165021 comm=cpuChild
[  144.982399] SCHED_LOG: pid=2370, nice=10, vruntime=23775489411, deadline=23775513604, burst_ns=179590 comm=cpuChild
[  144.982608] SCHED_LOG: pid=2370, nice=10, vruntime=23777300382, deadline=23777324575, burst_ns=194538 comm=cpuChild
